lead_set,index,param,crb_scaled,identifiability_score,one_over_score,rel_diff_crb_vs_1_over_score
I+II+V5,18,tau_dep2,1.8118906783870596,0.5519096775144279,1.8118906783870596,0.0
I+II+V5,19,tau_dep3,0.11281801111640335,8.863832912000372,0.11281801111640335,0.0
I+II+V5,20,tau_dep4,0.0723174957980615,13.827912443102122,0.0723174957980615,0.0
I+II+V5,21,tau_dep5,0.048236379237892375,20.731240938881335,0.048236379237892375,0.0
I+II+V5,22,tau_dep6,0.10947612340825306,9.134411859569125,0.10947612340825308,1.2676542953628419e-16
I+II+V5,23,tau_dep7,0.07860331843938717,12.72210919149836,0.07860331843938717,0.0
I+II+V5,24,tau_rep0,1.3426966742744295,0.7447698494824849,1.3426966742744295,0.0
I+II+V5,25,tau_rep1,1.1547208232348947,0.8660101904099627,1.1547208232348947,0.0
I+II+V5,26,tau_rep2,2.2394157808327684,0.44654503578970556,2.2394157808327684,0.0
I+II+V5,27,tau_rep3,0.2773837584681781,3.6051137439422996,0.2773837584681781,0.0
I+II+V5,28,tau_rep4,0.1083549547278257,9.228927302049794,0.1083549547278257,0.0
I+II+V5,29,tau_rep5,0.25937165068071993,3.855471472597347,0.25937165068071993,0.0
I+II+V5,30,tau_rep6,0.6082338592467668,1.644104458831664,0.6082338592467668,0.0
I+II+V5,31,tau_rep7,0.30067019425865016,3.3259033289470477,0.30067019425865016,0.0
I+II+V5,32,q0,0.16267253371752824,6.147319262491135,0.16267253371752824,0.0
I+II+V5,33,q1,0.18033585543213684,5.545208952505374,0.18033585543213684,0.0
I+II+V5,34,q2,0.0957373891872562,10.44523992652509,0.0957373891872562,0.0
I+II+V5,35,q3,0.1233451649043999,8.10733035847057,0.1233451649043999,0.0
I+II+V5,36,q4,0.20876490275038453,4.79007719604898,0.20876490275038456,1.3295134981963718e-16
I+II+V5,37,q5,0.17014165168508388,5.877455579489174,0.17014165168508388,0.0
I+II+V5,38,q6,0.15632645708763607,6.396869849352522,0.15632645708763607,0.0
I+II+V5,39,q7,0.10799640603179246,9.259567394359545,0.10799640603179247,1.2850231149107917e-16
I+II+V5,40,alpha_ST0,7.001401937134065,0.1428285376241858,7.001401937134064,1.2685722483512922e-16
I+II+V5,41,alpha_ST1,8.13798718008277,0.12288050814916976,8.13798718008277,0.0
I+II+V5,42,alpha_ST2,11.146189006136568,0.08971676323175992,11.146189006136568,0.0
I+II+V5,43,alpha_ST3,8.317857470658797,0.1202232670525427,8.317857470658797,0.0
I+II+V5,44,alpha_ST4,7.665178727258747,0.13046010218180837,7.6651787272587475,1.1587184738975542e-16
I+II+V5,45,alpha_ST5,7.5552518218124645,0.13235826198578055,7.555251821812465,1.1755775196478572e-16
I+II+V5,46,global_gain,0.17211080132648485,5.810210586975621,0.17211080132648485,0.0
II,0,delta_root,0.35956754163871235,2.781118661163203,0.35956754163871235,0.0
II,1,edge_prox0,1.483050153287665,0.674286029898027,1.483050153287665,0.0
II,2,edge_prox1,6.331200168351268,0.15794793615890584,6.331200168351268,0.0
II,3,edge_leaf0,4.372241224985049,0.22871565143421826,4.372241224985049,0.0
II,4,edge_leaf1,4.382498559651357,0.22818033740085322,4.382498559651357,0.0
II,5,edge_leaf2,4.3861573750313445,0.2279899954553851,4.3861573750313445,0.0
II,6,edge_leaf3,4.559843819246115,0.2193057568724648,4.559843819246115,0.0
II,7,edge_leaf4,4.377280527023348,0.22845234474383186,4.377280527023348,0.0
II,8,APD0,4.637492547361154,0.21563376971226064,4.637492547361154,0.0
II,9,APD1,5.837298360662147,0.1713121273257251,5.837298360662147,0.0
II,10,APD2,5.176166491643618,0.19319316749459198,5.176166491643618,0.0
II,11,APD3,0.26911064641893556,3.7159436585175416,0.26911064641893556,0.0
II,12,APD4,0.14263627880966417,7.010839096092894,0.14263627880966417,0.0
II,13,APD5,0.45330193343398184,2.206035152827422,0.4533019334339819,1.2245955099007398e-16
II,14,APD6,6.468775644635687,0.15458875913083528,6.468775644635688,1.3730239978822858e-16
II,15,APD7,0.22834665297562398,4.379306580450514,0.22834665297562398,0.0
II,16,tau_dep0,1.7897562917366114,0.5587352896129193,1.7897562917366112,1.2406415663977361e-16
II,17,tau_dep1,7.389315401273381,0.1353305341152,7.389315401273381,0.0
II,18,tau_dep2,9.51464877588601,0.10510109448647297,9.51464877588601,0.0
II,19,tau_dep3,0.23562602517855533,4.244013365001632,0.23562602517855535,1.1779503386604252e-16
II,20,tau_dep4,0.20212887607899413,4.947338645514406,0.20212887607899413,0.0
II,21,tau_dep5,0.1991907366961315,5.020313778574529,0.1991907366961315,0.0
II,22,tau_dep6,2.6578421314315106,0.37624507045548305,2.6578421314315106,0.0
II,23,tau_dep7,0.15046745118434812,6.645955601220563,0.15046745118434812,0.0
II,24,tau_rep0,3.7896116034922587,0.2638792849057316,3.7896116034922582,1.171859431295859e-16
II,25,tau_rep1,3.7459832685264236,0.26695260718379427,3.745983268526423,1.1855077239166534e-16
II,26,tau_rep2,11.289193822156797,0.08858028445196367,11.289193822156797,0.0
II,27,tau_rep3,0.5683276760991423,1.7595483064695137,0.5683276760991423,0.0
II,28,tau_rep4,0.3284422893797918,3.0446749165228764,0.3284422893797918,0.0
II,29,tau_rep5,0.9782218237754033,1.0222630242908963,0.9782218237754033,0.0
II,30,tau_rep6,12.871255369195625,0.07769249939623363,12.871255369195627,1.3800960267259943e-16
II,31,tau_rep7,0.5063558283650333,1.9748958024812093,0.5063558283650333,0.0
II,32,q0,0.41377805023315,2.41675458482279,0.41377805023315006,1.341568292469336e-16
II,33,q1,0.8289305565038284,1.2063736728655405,0.8289305565038284,0.0
II,34,q2,0.6909612847697525,1.4472590896800068,0.6909612847697525,0.0
II,35,q3,0.34674164309606037,2.8839916402050467,0.34674164309606037,0.0
II,36,q4,0.630667097693128,1.5856225949598899,0.630667097693128,0.0
II,37,q5,0.6685854152538417,1.4956952054066721,0.6685854152538417,0.0
II,38,q6,4.242497963696701,0.23571018974129332,4.242497963696701,0.0
II,39,q7,0.28005227122862886,3.570761971016549,0.28005227122862886,0.0
II,40,alpha_ST0,24.650547825048214,0.04056704975066996,24.650547825048214,0.0
II,41,alpha_ST1,18.79101656396113,0.0532169186587743,18.79101656396113,0.0
II,42,alpha_ST2,23.248332744244223,0.04301383720721126,23.248332744244223,0.0
II,43,alpha_ST3,22.07780434412159,0.04529435918596039,22.07780434412159,0.0
II,44,alpha_ST4,31.232884158342394,0.03201753622657026,31.232884158342394,0.0
II,45,alpha_ST5,16.54269156952642,0.060449655111875354,16.54269156952642,0.0
II,46,global_gain,0.3907547035518314,2.5591502569523277,0.3907547035518314,0.0
