seed,pair,recon_feature,obs_feature,family,aggregation,unit,n,pearson_r,pearson_p,spearman_rho,spearman_p,recon_mean,recon_sd,obs_mean,obs_sd,ba_bias,ba_sd_diff,ba_loa_lower,ba_loa_upper,ba_loa_width,ba_bias_over_obs_sd,ba_loa_width_over_obs_sd,ba_prop_bias_slope
2,Tlowamp_range,Tlowamp_range,obs_Tlowamp_range,Tlowamp,range,dimensionless (0..1),1594,0.6831462486275641,1.3890517905150658e-219,0.6677639827543727,2.3262489552637383e-206,0.5528326826787956,0.16178062738526186,0.6320969600941029,0.14262714560823203,-0.07926427741530741,0.12243046459384094,-0.31922798801923563,0.16069943318862084,0.4799274212078565,-0.5557446801398548,3.364909387769143,0.14941926000314626
2,STmean_mean,STmean_mean,obs_STmean_mean,STmean,mean,mV,1594,0.9222626637258857,0.0,0.8668495372743584,0.0,-0.02686582313666374,0.02460098821958306,-0.02248152014653626,0.027431205811924025,-0.004384302990127478,0.010626845565347647,-0.025212920298208867,0.016444314317953908,0.041657234616162775,-0.15982902903311938,1.5186074903807132,-0.11317304148100149
2,STmean_std,STmean_std,obs_STmean_std,STmean,std,mV,1594,0.9276565815494826,0.0,0.8779166094735071,0.0,0.057228092782308664,0.034412130039772386,0.059182707130489336,0.03799720849688422,-0.001954614348180678,0.014214085059035594,-0.029814221063890443,0.025904992367529085,0.05571921343141953,-0.05144099857601268,1.466402813143195,-0.10272933049241798
2,STmean_maxabs,STmean_maxabs,obs_STmean_maxabs,STmean,maxabs,mV,1594,0.8428443316120594,0.0,0.7794440307129988,0.0,0.10624456744542032,0.06890548462778683,0.1108137780966123,0.08797036956065071,-0.00456921065119197,0.047631001530049594,-0.09792597365008916,0.08878755234770523,0.1867135259977944,-0.05194033711591664,2.122459265890269,-0.26345277417628704
2,STmean_range,STmean_range,obs_STmean_range,STmean,range,mV,1594,0.8793597369627493,0.0,0.8420455220439381,0.0,0.17346171450627354,0.1070863658803138,0.18573661912672523,0.12987759569926913,-0.012274904620451695,0.0622510931829734,-0.13428704725907956,0.10973723801817617,0.24402428527725573,-0.09451133241543962,1.8788789857358665,-0.20458685031378085
2,STslope_mean,STslope_mean,obs_STslope_mean,STslope,mean,mV/sample,1594,0.924709773236558,0.0,0.7868305640214766,0.0,0.005627774752466229,0.01052048520125298,0.005403845317242551,0.010177260764710237,0.00022392943522367754,0.004029939230414582,-0.007674751456388903,0.008122610326836258,0.01579736178322516,0.022002918113305625,1.5522213833807508,0.03446237600787644
2,STslope_std,STslope_std,obs_STslope_std,STslope,std,mV/sample,1594,0.95826286313943,0.0,0.8003710835148421,0.0,0.009232711427258539,0.016961164345991646,0.009589710664309884,0.019938406583513875,-0.0003569992370513471,0.006090417358521375,-0.012294217259753241,0.011580218785650546,0.023874436045403787,-0.017905103677970578,1.197409429153904,-0.16478649029297804
2,STslope_maxabs,STslope_maxabs,obs_STslope_maxabs,STslope,maxabs,mV/sample,1594,0.914376593664471,0.0,0.805967458523691,0.0,0.021958705643005474,0.03565281004901786,0.022856786880317823,0.04188677093983706,-0.0008980812373123502,0.017163887082818994,-0.03453929991963758,0.03274313744501287,0.06728243736465045,-0.02144068919999312,1.6062932485602621,-0.16793750754863723
2,STslope_range,STslope_range,obs_STslope_range,STslope,range,mV/sample,1594,0.9444665262042434,0.0,0.7941952133771691,0.0,0.02890544137456182,0.053204550508322304,0.03213471328932036,0.06371581875961695,-0.003229271914758545,0.02206808888160377,-0.046482726122701934,0.04002418229318484,0.08650690841588678,-0.05068242043536692,1.3576990785012844,-0.18489459965320817
2,T_sign_discordance_rate,T_sign_discordance_rate,obs_T_sign_discordance_rate,T_sign_discordance_rate,rate,fraction of leads,1594,0.16574978094009685,2.767052472475691e-11,0.21752917245874792,1.585970183568909e-18,0.37505227938101215,0.17623332791519924,0.23687787536595561,0.14694875287832024,0.13817440401505648,0.20992186386042355,-0.27327244915137366,0.5496212571814867,0.8228937063328603,0.9402897357657108,5.599868595103022,0.30910206029721876
3,Tpeak_mean,Tpeak_mean,obs_Tpeak_mean,Tpeak,mean,mV,1594,0.8521826161420671,0.0,0.9243441856598881,0.0,0.09509669505448556,0.07547130118463864,0.13912255188119824,0.09802591151105051,-0.04402585682671268,0.05192165984803623,-0.1457923101288637,0.05774059647543834,0.20353290660430204,-0.44912468701451064,2.0763174090083076,-0.2803713670751062
3,Tpeak_std,Tpeak_std,obs_Tpeak_std,Tpeak,std,mV,1594,0.8208420437773245,0.0,0.8971581919941013,0.0,0.14642476475721455,0.07246868178759706,0.1848860099799247,0.09721590860813563,-0.03846124522271017,0.056007140649822325,-0.14823524089636192,0.0713127504509416,0.21954799134730352,-0.3956270714677196,2.2583545686156388,-0.3197156549132365
3,Tpeak_maxabs,Tpeak_maxabs,obs_Tpeak_maxabs,Tpeak,maxabs,mV,1594,0.8091769406868882,0.0,0.8552026753354497,0.0,0.33997424549874533,0.194765926341264,0.46658314441217064,0.2621979244753319,-0.12660889891342533,0.1550376770409909,-0.43048274591376745,0.1772649480869168,0.6077476940006843,-0.4828752903623268,2.317896662289798,-0.3255118464048829
3,Tpeak_range,Tpeak_range,obs_Tpeak_range,Tpeak,range,mV,1594,0.8216611723864404,0.0,0.89390611690924,0.0,0.4670999219548306,0.23818144009010014,0.6433221507904642,0.32689562273879347,-0.17622222883563363,0.18878902548296148,-0.5462487187822381,0.19380426111097085,0.740052979893209,-0.5390779703907027,2.263881583035297,-0.34389914474467564
3,Tptime_mean,Tptime_mean,obs_Tptime_mean,Tptime,mean,ms,1594,0.35780344379890083,2.439509435638223e-49,0.4113253709667357,4.0677218496139344e-66,269.65025094102884,39.08910783588209,254.52530322040985,31.027856740452556,15.12494772061899,40.283514565335096,-63.83074082743779,94.08063626867578,157.91137709611357,0.48746350246292863,5.0893420843418,0.33658584859890306
3,Tptime_std,Tptime_std,obs_Tptime_std,Tptime,std,ms,1594,0.2908477558960876,1.9031855071499845e-32,0.2896421753988449,3.5111051813154934e-32,67.36351693057989,26.479687703577213,33.881241804517,22.25822744795414,33.48227512606289,29.219111930410424,-23.78718425754154,90.75173450966732,114.53891876720886,1.504265117442692,5.145913754140232,0.2672972283980618
3,Tptime_maxabs,Tptime_maxabs,obs_Tptime_maxabs,Tptime,maxabs,ms,1594,0.05138823594674482,0.040226291307550954,0.040357367667663596,0.10725445078304754,388.6323713927227,66.37231897939009,314.5796737766625,62.684096132842505,74.05269761606023,88.9212026013225,-100.23285948253188,248.33825471465235,348.5711141971842,1.1813634108901396,5.560758401277401,0.1086461963878591
3,Tptime_range,Tptime_range,obs_Tptime_range,Tptime,range,ms,1594,0.1654535459621792,3.0035605421067014e-11,0.19895839324306777,1.0796283669485003e-15,210.59598494353827,66.73317687145548,118.24341279799248,70.24788660004651,92.35257214554579,88.52589909926621,-81.15819008901599,265.8633343801076,347.02152446912356,1.314666911922225,4.939956791082933,-0.08802160114119263
3,Tarea_mean,Tarea_mean,obs_Tarea_mean,Tarea,mean,mV*s,1594,0.9066873292566946,0.0,0.9182993407266634,0.0,0.007165616793968883,0.007105887057881054,0.010837868390284819,0.008392654004584867,-0.0036722515963159346,0.003575694561410259,-0.010680612936680042,0.0033361097440481723,0.014016722680728214,-0.43755546151548735,1.6701180190522504,-0.1741177735161915
3,Tarea_std,Tarea_std,obs_Tarea_std,Tarea,std,mV*s,1594,0.927675499280753,0.0,0.9017323025624173,0.0,0.012617458273713926,0.01003778451867349,0.015577377553764116,0.010303997411850263,-0.0029599192800501884,0.0038770884815332255,-0.01055901270385531,0.004639174143754933,0.015198186847610243,-0.28725931905282603,1.4749796841108818,-0.027155847690231893
3,Tarea_maxabs,Tarea_maxabs,obs_Tarea_maxabs,Tarea,maxabs,mV*s,1594,0.8947567062033649,0.0,0.8865439534236241,0.0,0.030222480860539525,0.024972178046774693,0.043005357835947305,0.027245666261525473,-0.01278287697540778,0.012181148425378947,-0.03665792788915052,0.011092173938334957,0.04775010182748547,-0.4691710179779642,1.7525760379336,-0.09190403559631871
3,Tarea_range,Tarea_range,obs_Tarea_range,Tarea,range,mV*s,1594,0.8958332978565461,0.0,0.870184744664218,0.0,0.03892556712452948,0.03105688215328665,0.0544123043359473,0.033855549186736354,-0.015486737211417816,0.015062676954798338,-0.045009584042822556,0.014036109619986926,0.059045693662809484,-0.4574357109376055,1.7440477286938212,-0.09095756927917437
3,Tabsarea_mean,Tabsarea_mean,obs_Tabsarea_mean,Tabsarea,mean,mV*s,1594,0.9415520314081582,0.0,0.953323247189565,0.0,0.022626563467189456,0.01009216109204038,0.022625682722772898,0.010312218585923497,8.807444165620628e-07,0.0034948656690144166,-0.006849055966851694,0.006850817455684818,0.013699873422536512,8.540784984564879e-05,1.3285088275026744,-0.022218882055415605
3,Tabsarea_std,Tabsarea_std,obs_Tabsarea_std,Tabsarea,std,mV*s,1594,0.899352404257565,0.0,0.8813690593158747,0.0,0.013861787872120453,0.008443229284568487,0.013862018642785447,0.008823343513569976,-2.3077066499372568e-07,0.0038910766940571215,-0.007626741091016952,0.007626279549686964,0.015253020640703916,-2.6154559735638645e-05,1.7287120939182903,-0.0463608372534084
3,Tabsarea_maxabs,Tabsarea_maxabs,obs_Tabsarea_maxabs,Tabsarea,maxabs,mV*s,1594,0.8846896365907289,0.0,0.8696686969988295,0.0,0.049271678579861984,0.02699331355919944,0.051991397208908406,0.02885633201383772,-0.002719718629046424,0.013531732463474812,-0.029241914257457056,0.023802476999364205,0.05304439125682126,-0.09425032355956449,1.838223625628664,-0.07079251124412492
3,Tabsarea_range,Tabsarea_range,obs_Tabsarea_range,Tabsarea,range,mV*s,1594,0.8754957447883973,0.0,0.8576166270279275,0.0,0.04370755278770389,0.026139471856015995,0.046214202715119196,0.027971194812226458,-0.0025066499274153074,0.013616840457214193,-0.029195657223555126,0.02418235736872451,0.053378014592279636,-0.08961540414139293,1.9083208618942382,-0.07219178423470597
3,Twidth_mean,Twidth_mean,obs_Twidth_mean,Twidth,mean,fraction of T window,1594,0.1115507690524733,8.040539351638713e-06,0.0847040208920454,0.0007111752847315444,0.6986886889052337,0.05840299088439796,0.5144795858030834,0.09871228033549957,0.1842091031021503,0.10894412627397021,-0.029321384394831312,0.3977395905991319,0.4270609749939632,1.8661214438169937,4.326320631460286,-0.87710081558529
3,Twidth_std,Twidth_std,obs_Twidth_std,Twidth,std,fraction of T window,1594,0.2805241655402964,3.276219673219512e-30,0.27521295509914395,4.258983865913747e-29,0.10403619735106585,0.03885444488061236,0.13381823034083204,0.047659518152459654,-0.029782032989766158,0.052365610536356445,-0.1324186296410248,0.07285456366149247,0.20527319330251725,-0.6248916091533994,4.307076555953878,-0.31608123908405916
3,Twidth_maxabs,Twidth_maxabs,obs_Twidth_maxabs,Twidth,maxabs,fraction of T window,1594,0.2436197163819483,5.734552688933762e-23,0.255833094085845,3.079983337716978e-25,0.8600787435642279,0.09108414648238478,0.7811188508631508,0.14138228130678493,0.07895989270107731,0.14836022228194728,-0.21182614297153937,0.369745928373694,0.5815720713452334,0.5584850659591671,4.113472112416138,-0.6766608702966647
3,Twidth_range,Twidth_range,obs_Twidth_range,Twidth,range,fraction of T window,1594,0.24324861369510367,6.691799996445711e-23,0.24556783445445804,2.5391982323196406e-23,0.3688400467269502,0.13401991888057793,0.43659412451866914,0.14285187166868443,-0.06775407779171895,0.170452363728211,-0.40184071069901245,0.2663325551155746,0.668173265814587,-0.47429604526891056,4.677385448363446,-0.10256782136284104
3,Tasym_mean,Tasym_mean,obs_Tasym_mean,Tasym,mean,dimensionless (-1..1),1594,0.27360827751461364,9.142132736811444e-29,0.28545370088092764,2.8803756297238904e-31,0.22896689935359582,0.2394176410556938,0.2412077130977936,0.17656416296584454,-0.012240813744197786,0.2556627806587008,-0.5133398638352514,0.4888582363468558,1.0021981001821072,-0.0693278496529656,5.676112770267982,0.46844719492253944
